ID;Round;@2_tutor;GExp;@1_certificate;@1_Confidence;@1_Fidgety;@2_Confidence;@2_Fidgety;@3_Confidence;@3_Fidgety;practice;@4_Confidence;experience;@4_Fidgety;@5_Confidence;@5_Fidgety;@6_Confidence;@6_Fidgety;@7_Confidence;@7_Fidgety;@8_Confidence;@8_Fidgety;@9_Confidence;@9_Fidgety;@10_Confidence;@10_Fidgety;@11_Confidence;@11_Fidgety;@12_Confidence;@12_Fidgety;Cor_1;Cor_2;Cor_3;Cor_4;Cor_5;Cor_6;Cor_7;Cor_8;Cor_9;Cor_10;Cor_11;Cor_12;Correctness_Case;filter_$
2;1;0;0;0;2;0;2;1;1;1;0;1;0;0;1;0;1;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;0;0;1;1;1;0;1;,5;1
5;1;0;0;0;1;1;3;0;2;1;0;2;1;0;3;0;3;1;1;0;1;1;2;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;1;1;,416666666666667;1
6;1;0;0;0;1;0;1;1;1;1;0;1;0;1;1;0;1;0;1;1;1;0;2;0;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;0;,666666666666667;1
7;1;0;0;0;2;0;2;0;3;0;0;3;0;0;2;1;2;1;2;0;2;0;3;0;2;1;2;1;2;1;1;1;0;0;1;0;0;1;1;1;1;0;,583333333333333;1
8;1;0;0;0;1;0;2;1;3;1;0;1;1;0;2;1;2;1;1;0;1;0;2;0;1;1;2;0;2;1;1;0;1;0;1;0;0;1;1;1;0;0;,5;1
9;1;0;0;0;3;1;2;0;2;1;0;2;0;0;3;0;3;1;2;0;2;0;2;1;1;1;2;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;,5;1
1;1;0;1;2;2;1;3;1;1;1;1;1;3;1;3;0;1;1;3;0;3;0;2;0;1;0;2;1;3;0;0;0;1;1;0;0;0;1;1;0;1;1;,5;1
3;1;0;1;1;2;1;2;1;1;0;1;1;2;0;3;0;2;1;2;0;1;0;2;1;1;0;2;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;,25;1
4;1;0;1;2;2;1;2;0;3;1;0;2;1;1;2;1;2;1;2;0;3;0;3;0;3;0;2;1;2;1;0;1;1;1;1;0;0;1;1;0;1;0;,583333333333333;1
10;1;0;1;1;2;1;1;1;3;1;0;2;1;0;1;0;3;1;2;1;3;0;2;1;1;0;3;1;2;1;0;0;1;0;0;0;1;1;0;0;1;0;,333333333333333;1
11;1;0;1;2;2;0;3;1;2;1;1;2;3;1;3;1;2;0;3;1;3;0;2;0;2;1;2;0;2;0;1;0;1;1;1;1;1;1;1;1;0;1;,833333333333333;1
12;1;0;1;1;2;1;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;2;1;2;1;1;0;0;0;1;0;0;0;0;1;1;1;1;1;,5;1
13;1;0;1;2; ;0; ;1; ;1;1; ;2;1; ;1;NA;0; ;1;NA;0; ;0; ;1;NA;0; ;1;1;0;1;1;1;1;1;1;1;1;0;0;,75;1
14;1;0;1;2;2;0;2;1;1;0;1;2;2;1;3;1;1;0;2;1;3;0;2;0;2;1;2;1;2;0;1;0;0;1;1;1;1;1;1;1;1;1;,833333333333333;1
15;1;1;2;2;2;0;3;1;2;1;1;1;3;1;1;0;2;0;2;1;2;0;1;0;2;1;1;1;2;0;1;0;1;1;0;1;1;1;1;1;1;1;,833333333333333;1
16;1;1;2;2;2;0;1;1;1;1;1;2;3;1;1;1;1;0;1;1;2;0;1;0;1;1;1;1;2;0;1;0;1;1;1;1;1;1;1;1;1;1;,916666666666667;1
17;1;1;2;2;1;0;1;1;3;1;1;2;3;1;2;1;1;0;1;1;2;0;1;0;1;1;2;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;,916666666666667;1
18;1;1;2;2;2;0;2;0;2;1;1;3;3;1;3;1;1;0;3;1;1;0;1;1;2;1;1;0;3;0;1;1;1;1;1;1;1;1;0;1;0;1;,833333333333333;1
19;1;1;2;2;3;0;3;1;2;1;1;3;3;1;1;1;3;0;3;1;3;0;3;0;3;1;3;1;3;0;1;0;1;1;1;1;1;1;1;1;1;1;,916666666666667;1
20;1;1;2;2;3;0;2;1;2;1;1;2;3;0;3;1;2;1;1;0;3;0;2;0;2;1;1;1;2;0;1;0;1;0;1;0;0;1;1;1;1;1;,666666666666667;1
21;1;1;2;2;2;0;2;1;1;1;1;2;3;1;1;1;2;0;1;1;3;0;2;0;2;1;NA;1;2;0;1;0;1;1;1;1;1;1;1;1;1;1;,916666666666667;1
17;2;1;2;2;2;0;3;1;1;1;1;2;3;1;1;0;1;1;2;1;NA;0;1;0;2;1;2;1;3;0;1;0;1;1;0;0;1;1;1;1;1;1;,75;0
18;2;1;2;2;3;0;1;0;2;1;1;3;3;1;3;1;NA;0;2;1;3;0;2;0;1;1;NA;1;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
19;2;1;2;2;3;0;3;1;2;1;1;3;3;1;3;1;3;0;2;1;3;0;3;0;3;1;2;0;3;0;1;0;1;1;1;1;1;1;1;1;0;1;,833333333333333;0
20;2;1;2;2;3;0;2;1;2;1;1;2;3;1;1;0;1;1;1;1;2;0;2;0;3;1;1;0;2;0;1;0;1;1;0;0;1;1;1;1;0;1;,666666666666667;0
21;2;1;2;2;2;0;2;1;1;1;1;2;3;1;2;1;1;1;1;1;2;0;2;0;2;1;2;1;2;0;1;0;1;1;1;0;1;1;1;1;1;1;,833333333333333;0
