ID,GMA qualification,Accuracy,Confidence
1,Basic or Advanced,50.0,2.0833333333333335
2,None,50.0,1.1666666666666667
3,Basic or Advanced,25.0,1.6666666666666667
4,Basic or Advanced,58.333333333333336,2.3333333333333335
5,None,41.66666666666667,1.75
6,None,66.66666666666666,1.0833333333333333
7,None,58.333333333333336,2.25
8,None,50.0,1.6666666666666667
9,None,50.0,2.0833333333333335
10,Basic or Advanced,33.33333333333333,2.0833333333333335
11,Basic or Advanced,83.33333333333334,2.3333333333333335
12,Basic or Advanced,50.0,1.25
13,Basic or Advanced,75.0,
14,Basic or Advanced,83.33333333333334,2.0
15,Tutor,83.33333333333334,1.75
16,Tutor,91.66666666666666,1.3333333333333333
17,Tutor,91.66666666666666,1.5
18,Tutor,83.33333333333334,2.0
19,Tutor,91.66666666666666,2.75
20,Tutor,66.66666666666666,2.0833333333333335
21,Tutor,91.66666666666666,1.8181818181818181
