,ID,Accuracy_pc,GMA qualification,Round
6,1.0,50.0,Basic or Advanced,1.0
0,2.0,50.0,None,1.0
7,3.0,25.0,Basic or Advanced,1.0
8,4.0,58.333333333333336,Basic or Advanced,1.0
1,5.0,41.66666666666667,None,1.0
2,6.0,66.66666666666666,None,1.0
3,7.0,58.333333333333336,None,1.0
4,8.0,50.0,None,1.0
5,9.0,50.0,None,1.0
9,10.0,33.33333333333333,Basic or Advanced,1.0
10,11.0,83.33333333333334,Basic or Advanced,1.0
11,12.0,50.0,Basic or Advanced,1.0
12,13.0,75.0,Basic or Advanced,1.0
13,14.0,83.33333333333334,Basic or Advanced,1.0
14,15.0,83.33333333333334,Tutor,1.0
15,16.0,91.66666666666666,Tutor,1.0
16,17.0,91.66666666666666,Tutor,1.0
21,17.0,75.0,Tutor,2.0
17,18.0,83.33333333333334,Tutor,1.0
22,18.0,100.0,Tutor,2.0
18,19.0,91.66666666666666,Tutor,1.0
23,19.0,83.33333333333334,Tutor,2.0
19,20.0,66.66666666666666,Tutor,1.0
24,20.0,66.66666666666666,Tutor,2.0
20,21.0,91.66666666666666,Tutor,1.0
25,21.0,83.33333333333334,Tutor,2.0
